Probe_ID,median
cg00521255,0.344
cg00522231,0.862
cg00523379,0.598
cg00534318,0.263
cg00534468,0.782
cg00539174,0.889
cg00543335,0.919
cg00544337,0.293
cg00548098,0.544
cg00551910,0.554
cg00552753,0.884
cg00554421,0.633
cg00554993,0.336
cg00558975,0.918
cg00561903,0.914
cg00563845,0.497
cg00563932,0.552
cg00564555,0.701
cg00574958,0.098
cg00577578,0.224
cg00580497,0.354
cg00582628,0.592
cg00589581,0.624
cg00593462,0.774
cg00593900,0.14
cg00602811,0.508
cg00603274,0.082
cg00609333,0.822
cg00612299,0.285
cg00614360,0.836
cg00615241,0.472
cg00618626,0.945
cg00638945,0.643
cg00645579,0.411
cg00648582,0.981
cg00655552,0.11
cg00655982,0.108
cg00658652,0.821
cg00663739,0.067
cg00665492,0.054
cg00684178,0.879
cg00684824,0.24
cg00687674,0.368
cg00695391,0.397
cg00695799,0.194
cg00697033,0.015
cg00702638,0.013
cg00706683,0.61
cg00712841,0.531
cg00715290,0.129
cg00717297,0.907
cg00717825,0.944
cg00720845,0.739
cg00733150,0.098
cg00739278,0.301
cg00740914,0.89
cg00744433,0.941
cg00748589,0.248
cg00750088,0.107
cg00753676,0.728
cg00753885,0.814
cg00756943,0.308
cg00757033,0.775
cg00760938,0.901
cg00764307,0.793
cg00770871,0.016
cg00771642,0.963
cg00772585,0.874
cg00773060,0.88
cg00780578,0.736
cg00785170,0.127
cg00788025,0.874
cg00791854,0.287
cg00793186,0.289
cg00793774,0.071
cg00795927,0.961
cg00797278,0.117
cg00800780,0.892
cg00805193,0.501
cg00834400,0.033
cg00840990,0.714
cg00843787,0.831
cg00844308,0.372
cg00845900,0.955
cg00849435,0.016
cg00850073,0.113
cg00851050,0.112
cg00859280,0.167
cg00862290,0.76
cg00864474,0.135
cg00864867,0.054
cg00870265,0.016
cg00870514,0.751
cg00877212,0.902
cg00877329,0.231
cg00879155,0.97
cg00884606,0.084
cg00892703,0.741
cg00894378,0.62
cg00907204,0.091
cg00910168,0.808
cg00910503,0.976
cg00911370,0.224
cg00916884,0.034
cg00924265,0.949
cg00925087,0.919
cg00929523,0.29
cg00930628,0.116
cg00933182,0.596
cg00935119,0.13
cg00935435,0.887
cg00936722,0.925
cg00940577,0.342
cg00943950,0.063
cg00945507,0.526
cg00955230,0.073
cg00959259,0.697
cg00962755,0.406
cg00962913,0.015
cg00963654,0.067
cg00970752,0.625
cg00974523,0.719
cg00979803,0.87
cg00991848,0.079
cg00994306,0.063
cg00994804,0.374
cg00998451,0.199
cg01005582,0.891
cg01019770,0.149
cg01021485,0.042
cg01023759,0.728
cg01026009,0.491
cg01027739,0.098
cg01027805,0.1
cg01029867,0.055
cg01031400,0.088
cg01031441,0.274
cg01032119,0.254
cg01035616,0.929
cg01044025,0.285
cg01048752,0.879
cg01050423,0.037
cg01054110,0.915
cg01055594,0.834
cg01055824,0.889
cg01055871,0.242
cg01056568,0.595
cg01057893,0.954
cg01059398,0.473
cg01065599,0.394
cg01070197,0.967
cg01073765,0.81
cg01077274,0.475
cg01080986,0.941
cg01081263,0.432
cg01082242,0.022
cg01091514,0.364
cg01096266,0.617
cg01103582,0.792
cg01103827,0.412
cg01105058,0.032
cg01109734,0.956
cg01112778,0.834
cg01114088,0.086
cg01115569,0.649
cg01118711,0.935
cg01119072,0.589
cg01122755,0.059
cg01127300,0.602
cg01128603,0.121
cg01130056,0.94
cg01130991,0.846
cg01131735,0.042
cg01136167,0.193
cg01136606,0.957
cg01137065,0.039
cg01141812,0.214
cg01146808,0.598
cg01161889,0.059
cg01162920,0.095
cg01163330,0.965
cg01168235,0.141
cg01176329,0.818
cg01181940,0.409
cg01185626,0.114
cg01187498,0.958
cg01192291,0.896
cg01194538,0.752
cg01196788,0.25
cg01205087,0.728
cg01206872,0.515
cg01209296,0.146
cg01211097,0.46
cg01213022,0.943
cg01220680,0.101
cg01221209,0.962
cg01221637,0.063
cg01222316,0.139
cg01226614,0.751
cg01229452,0.292
cg01234063,0.061
cg01239389,0.511
cg01239922,0.807
cg01243072,0.567
cg01243823,0.346
cg01245393,0.867
cg01252496,0.505
cg01254459,0.045
cg01256539,0.738
cg01261503,0.07
cg01262865,0.417
cg01262913,0.074
cg01264729,0.753
cg01274524,0.944
cg01281904,0.663
cg01287476,0.509
cg01287592,0.05
cg01297303,0.862
cg01302136,0.867
cg01307174,0.6
cg01308343,0.635
cg01311102,0.826
cg01321673,0.352
cg01328703,0.96
cg01329511,0.546
cg01331772,0.828
cg01332462,0.538
cg01334432,0.937
cg01335367,0.124
cg01337813,0.135
cg01346077,0.285
cg01353448,0.622
cg01355108,0.448
cg01356950,0.083
cg01364769,0.913
cg01365152,0.961
cg01367328,0.727
cg01391867,0.028
cg01397912,0.884
cg01399860,0.808
cg01400401,0.125
cg01404163,0.3
cg01407797,0.083
cg01412762,0.322
cg01416891,0.221
cg01421252,0.861
cg01431830,0.945
cg01433297,0.862
cg01433677,0.196
cg01435493,0.105
cg01435574,0.075
cg01438090,0.766
cg01439105,0.219
cg01441777,0.475
cg01447660,0.307
cg01449677,0.977
cg01450842,0.952
cg01454752,0.889
cg01459453,0.798
cg01461718,0.203
cg01471710,0.912
cg01485645,0.167
cg01486146,0.171
cg01491219,0.09
cg01503516,0.687
cg01508796,0.058
cg01510051,0.874
cg01511232,0.9
cg01511567,0.221
cg01517384,0.407
cg01518025,0.94
cg01518465,0.226
cg01519742,0.099
cg01520983,0.051
cg01521220,0.363
cg01524149,0.578
cg01527307,0.899
cg01528542,0.759
cg01529637,0.078
cg01530283,0.339
cg01532168,0.019
cg01534887,0.882
cg01537995,0.133
cg01538166,0.25
cg01542719,0.877
cg01544580,0.722
cg01557547,0.038
cg01557754,0.585
cg01560871,0.787
cg01562537,0.898
cg01563071,0.608
cg01564693,0.928
cg01570885,0.491
cg01577414,0.126
cg01579218,0.765
cg01584473,0.864
cg01587896,0.052
cg01595397,0.726
cg01597480,0.271
cg01600782,0.038
cg01603290,0.151
cg01603456,0.851
cg01603921,0.353
cg01611548,0.516
cg01612140,0.422
cg01614102,0.092
cg01614478,0.168
cg01615339,0.302
cg01616394,0.155
cg01619129,0.017
cg01620164,0.753
cg01623187,0.963
cg01624571,0.935
cg01626227,0.09
cg01635346,0.309
cg01637125,0.878
cg01638369,0.143
cg01639032,0.015
cg01641177,0.192
cg01641432,0.955
cg01641620,0.917
cg01644850,0.045
cg01647632,0.046
cg01651821,0.047
cg01655150,0.077
cg01656216,0.911
cg01658265,0.076
cg01659184,0.805
cg01667384,0.028
cg01670677,0.016
cg01676795,0.582
cg01678292,0.847
cg01682285,0.496
cg01686177,0.758
cg01687862,0.664
cg01687878,0.549
cg01691194,0.839
cg01695994,0.757
cg01697732,0.02
cg01699217,0.083
cg01702009,0.866
cg01704252,0.762
cg01704999,0.125
cg01707820,0.528
cg01708387,0.73
cg01711322,0.819
cg01738359,0.067
cg01738984,0.443
cg01739167,0.441
cg01740766,0.147
cg01745370,0.15
cg01752203,0.802
cg01753176,0.932
cg01757168,0.775
cg01762785,0.905
cg01768926,0.863
cg01770362,0.675
cg01773760,0.096
cg01783070,0.028
cg01783841,0.77
cg01785233,0.592
cg01787798,0.461
cg01788773,0.171
cg01791648,0.859
cg01792616,0.825
cg01794929,0.855
cg01802397,0.047
cg01813672,0.967
cg01817885,0.953
cg01820374,0.347
cg01820962,0.878
cg01823956,0.018
cg01824466,0.52
cg01829657,0.919
cg01830294,0.25
cg01831904,0.938
cg01832549,0.525
cg01835620,0.86
cg01843034,0.204
cg01844642,0.501
cg01873645,0.043
cg01873886,0.068
cg01877606,0.162
cg01883195,0.559
cg01883408,0.496
cg01885071,0.036
cg01885635,0.297
cg01892695,0.852
cg01896085,0.805
cg01899318,0.815
cg01899542,0.34
cg01900832,0.55
cg01901101,0.372
cg01902704,0.905
cg01905210,0.554
cg01909777,0.953
cg01918706,0.03
cg01923692,0.133
cg01927000,0.942
cg01930621,0.043
cg01936220,0.23
cg01939962,0.968
cg01940273,0.666
cg01943692,0.322
cg01946401,0.595
cg01949403,0.905
cg01956624,0.024
cg01960979,0.922
cg01964856,0.755
cg01968178,0.123
cg01971089,0.017
cg01975858,0.953
cg01988129,0.09
cg01995821,0.062
cg01997410,0.098
cg02001279,0.212
cg02004418,0.029
cg02010447,0.116
cg02012043,0.903
cg02016419,0.415
cg02017015,0.902
cg02018902,0.128
cg02019988,0.209
cg02021288,0.806
cg02025827,0.109
cg02027561,0.756
cg02031359,0.391
cg02037503,0.19
cg02042310,0.307
cg02046143,0.312
cg02047577,0.017
cg02047661,0.717
cg02054358,0.184
cg02055264,0.795
cg02056682,0.019
cg02057239,0.242
cg02058357,0.939
cg02059055,0.95
cg02061130,0.437
cg02061804,0.716
cg02066343,0.799
cg02071305,0.328
cg02071712,0.103
cg02071825,0.048
cg02079584,0.488
cg02081065,0.957
cg02085507,0.565
cg02085953,0.413
cg02086195,0.575
cg02088403,0.945
cg02089135,0.056
cg02096633,0.061
cg02115397,0.971
cg02121547,0.412
cg02131130,0.925
cg02133624,0.585
cg02135821,0.96
cg02145668,0.249
cg02150207,0.977
cg02150988,0.163
cg02151301,0.355
cg02151816,0.881
cg02153490,0.322
cg02154074,0.149
cg02160530,0.096
cg02161761,0.458
cg02171545,0.391
cg02181968,0.1
cg02186542,0.154
cg02186748,0.766
cg02189786,0.016
cg02192678,0.816
cg02193806,0.875
cg02194396,0.669
cg02197293,0.176
cg02204442,0.894
cg02204637,0.958
cg02208820,0.971
cg02209075,0.949
cg02216481,0.637
cg02217159,0.139
cg02218884,0.857
cg02220125,0.641
cg02225085,0.125
cg02228185,0.875
cg02229946,0.892
cg02230495,0.89
cg02232751,0.445
cg02238461,0.296
cg02244028,0.894
cg02244288,0.21
cg02247160,0.363
cg02254551,0.191
cg02254885,0.75
cg02256105,0.563
cg02256455,0.7
cg02264895,0.426
cg02266732,0.123
cg02272457,0.965
cg02272599,0.328
cg02275294,0.134
cg02281167,0.296
cg02282640,0.936
cg02283691,0.119
cg02288684,0.825
cg02291424,0.04
cg02295856,0.883
cg02306162,0.472
cg02309431,0.919
cg02310103,0.366
cg02311013,0.878
cg02315732,0.684
cg02315940,0.064
cg02319782,0.634
cg02320003,0.026
cg02328239,0.24
cg02331561,0.016
cg02332492,0.884
cg02335441,0.057
cg02337614,0.918
cg02339392,0.198
cg02355868,0.058
cg02356786,0.08
cg02357838,0.041
cg02361878,0.248
cg02361903,0.484
cg02364642,0.304
cg02373784,0.15
cg02380595,0.182
cg02383785,0.138
cg02387613,0.042
cg02388150,0.244
cg02393721,0.738
cg02395454,0.601
cg02397497,0.074
cg02402091,0.491
cg02403883,0.596
cg02414626,0.967
cg02415029,0.201
cg02415341,0.661
cg02426178,0.906
cg02426324,0.853
cg02428100,0.023
cg02434059,0.216
cg02435538,0.82
cg02448244,0.884
cg02450064,0.259
cg02452500,0.273
cg02456087,0.109
cg02462416,0.541
cg02462487,0.647
cg02464555,0.094
cg02464608,0.757
cg02466947,0.305
cg02470045,0.311
cg02479575,0.027
cg02480835,0.028
cg02483931,0.343
cg02486497,0.2
cg02489552,0.634
cg02491557,0.854
cg02492920,0.246
cg02493740,0.673
cg02495445,0.906
cg02497428,0.869
cg02501978,0.969
cg02502361,0.038
cg02503970,0.045
cg02504211,0.749
cg02505126,0.028
cg02514143,0.946
cg02515033,0.986
cg02524236,0.915
cg02532488,0.118
cg02533423,0.141
cg02543075,0.025
cg02545583,0.36
cg02546818,0.042
cg02554246,0.046
cg02563156,0.321
cg02567488,0.047
cg02569613,0.153
cg02575937,0.905
cg02578470,0.42
cg02580250,0.599
cg02580606,0.934
cg02580722,0.045
cg02582848,0.941
cg02582963,0.473
cg02583151,0.086
cg02583546,0.053
cg02587153,0.301
cg02590345,0.115
cg02591356,0.443
cg02593958,0.484
cg02595575,0.024
cg02598071,0.867
cg02610222,0.041
cg02613108,0.387
cg02627240,0.373
cg02631468,0.06
cg02631957,0.062
cg02633924,0.056
cg02635260,0.357
cg02650017,0.086
cg02650266,0.066
cg02653521,0.883
cg02654291,0.474
cg02660347,0.112
cg02691360,0.61
cg02693210,0.272
cg02697373,0.463
cg02698620,0.078
cg02703145,0.917
cg02704502,0.548
cg02713068,0.075
cg02716826,0.389
cg02722637,0.67
cg02723395,0.186
cg02726121,0.128
cg02729030,0.779
cg02735486,0.684
cg02738641,0.854
cg02747822,0.818
cg02758183,0.938
cg02761568,0.125
cg02762115,0.214
cg02762363,0.284
cg02763536,0.045
cg02767242,0.263
cg02767634,0.971
cg02771117,0.481
cg02773041,0.06
cg02777885,0.138
cg02780017,0.176
cg02780919,0.412
cg02782857,0.929
cg02794779,0.171
cg02795076,0.099
cg02795151,0.952
cg02796545,0.149
cg02802055,0.035
cg02810967,0.564
cg02817030,0.114
cg02821342,0.077
cg02822381,0.186
cg02825527,0.949
cg02827075,0.661
cg02827112,0.081
cg02831419,0.944
cg02836046,0.836
cg02838492,0.718
cg02844545,0.186
cg02849766,0.894
cg02853801,0.149
cg02867102,0.152
cg02870946,0.59
cg02871659,0.27
cg02872426,0.563
cg02875404,0.906
cg02878461,0.927
cg02880119,0.656
cg02888131,0.114
cg02897366,0.496
cg02901139,0.172
cg02907425,0.932
cg02922734,0.956
cg02925268,0.949
cg02931526,0.961
cg02942825,0.553
cg02951357,0.61
cg02952809,0.885
cg02954562,0.22
cg02955354,0.854
cg02963381,0.784
cg02964724,0.138
cg02965178,0.506
cg02965290,0.278
cg02965712,0.562
cg02966722,0.205
cg02967428,0.154
cg02967610,0.712
cg02970861,0.056
cg02972551,0.051
cg02974659,0.727
cg02975922,0.912
cg02976574,0.943
cg02980055,0.822
cg02980621,0.518
cg02983424,0.191
cg02991799,0.015
cg02994956,0.275
cg02995791,0.952
cg03000848,0.819
cg03001484,0.352
cg03007010,0.052
cg03019000,0.81
cg03020208,0.446
cg03021329,0.054
cg03025337,0.916
cg03025830,0.563
cg03032497,0.22
cg03034634,0.076
cg03036592,0.061
cg03039990,0.413
cg03040622,0.432
cg03040821,0.756
cg03045425,0.041
cg03045635,0.213
cg03046819,0.116
cg03048488,0.867
cg03058664,0.625
cg03061518,0.95
cg03068497,0.51
cg03071793,0.306
cg03072681,0.508
cg03076094,0.382
cg03076824,0.066
cg03077331,0.275
cg03092551,0.423
cg03096347,0.699
cg03098356,0.015
cg03102848,0.031
cg03103192,0.499
cg03110633,0.017
cg03111404,0.215
cg03111498,0.089
cg03112631,0.11
cg03112869,0.96
cg03140521,0.286
cg03140968,0.039
cg03153178,0.038
cg03155027,0.403
cg03159660,0.745
cg03162143,0.951
cg03163545,0.246
cg03164928,0.33
cg03165014,0.116
cg03167275,0.113
cg03167948,0.84
cg03172657,0.489
cg03172991,0.566
cg03177551,0.063
cg03181582,0.06
cg03183882,0.106
cg03186975,0.227
cg03191889,0.027
cg03203114,0.833
cg03204600,0.115
cg03214087,0.846
cg03215416,0.953
cg03223959,0.934
cg03224418,0.436
cg03227963,0.852
cg03231447,0.974
cg03232933,0.579
cg03233656,0.387
cg03234186,0.117
cg03236328,0.455
cg03258472,0.558
cg03259703,0.857
cg03261929,0.189
cg03270167,0.094
cg03270204,0.914
cg03274876,0.029
cg03276920,0.925
cg03277049,0.246
cg03283486,0.811
cg03286774,0.862
cg03286783,0.08
cg03294557,0.706
cg03296283,0.845
cg03297163,0.039
cg03303325,0.91
cg03307958,0.94
cg03310376,0.074
cg03310469,0.08
cg03315215,0.019
cg03322338,0.455
cg03323067,0.193
cg03330058,0.348
cg03335262,0.384
cg03336167,0.348
cg03337277,0.021
cg03338903,0.036
cg03340261,0.041
cg03340878,0.569
cg03345116,0.826
cg03345668,0.622
cg03358468,0.967
cg03360992,0.267
cg03361973,0.95
cg03364683,0.037
cg03366574,0.863
cg03387497,0.927
cg03388293,0.085
cg03393241,0.935
cg03394401,0.207
cg03399905,0.1
cg03400403,0.961
cg03405983,0.412
cg03415429,0.017
cg03421353,0.533
cg03424844,0.796
cg03430846,0.126
cg03438101,0.299
cg03443360,0.52
cg03446427,0.678
cg03450948,0.081
cg03454541,0.557
cg03460603,0.928
cg03466124,0.159
cg03466525,0.515
cg03467555,0.523
cg03473016,0.941
cg03473532,0.886
cg03476291,0.097
cg03484180,0.378
cg03486383,0.957
cg03493032,0.084
cg03493146,0.169
cg03494277,0.948
cg03507218,0.766
cg03508235,0.705
cg03517776,0.056
cg03519011,0.342
cg03520471,0.583
cg03521737,0.523
cg03522107,0.292
cg03524223,0.043
cg03525069,0.679
cg03527802,0.466
cg03534847,0.939
cg03535648,0.959
cg03537591,0.939
cg03546163,0.68
cg03552151,0.066
cg03554174,0.673
cg03555227,0.315
cg03555424,0.025
cg03565081,0.259
cg03565323,0.137
cg03565475,0.909
cg03566719,0.102
cg03568017,0.092
cg03573179,0.081
cg03574306,0.774
cg03574652,0.947
cg03578041,0.327
cg03583050,0.137
cg03584351,0.765
cg03588357,0.079
cg03588998,0.172
cg03589001,0.547
cg03591753,0.54
cg03593550,0.263
cg03594801,0.871
cg03598731,0.982
cg03603381,0.532
cg03603951,0.034
cg03604011,0.051
cg03604424,0.714
cg03607117,0.079
cg03610228,0.314
cg03613618,0.685
cg03619256,0.692
cg03622371,0.228
cg03623878,0.082
cg03633073,0.989
cg03633574,0.811
cg03634479,0.192
cg03636183,0.731
cg03638795,0.263
cg03639603,0.039
cg03639671,0.731
cg03641033,0.839
cg03643998,0.134
cg03646329,0.832
cg03660500,0.065
cg03664992,0.127
cg03669147,0.873
cg03670162,0.086
cg03678098,0.132
cg03682823,0.539
cg03683171,0.013
cg03686455,0.846
cg03688058,0.109
cg03694580,0.08
cg03699074,0.203
cg03703325,0.065
cg03706056,0.567
cg03707967,0.709
cg03710354,0.076
cg03714531,0.051
cg03717364,0.273
cg03717616,0.895
cg03719092,0.194
cg03723356,0.672
cg03724882,0.055
cg03725309,0.204
cg03730314,0.544
cg03730474,0.176
cg03730709,0.926
cg03732007,0.146
cg03734594,0.417
cg03739265,0.965
cg03739378,0.925
cg03741653,0.822
cg03746976,0.45
cg03748503,0.146
cg03755535,0.31
cg03760035,0.986
cg03760483,0.489
cg03763077,0.96
cg03764506,0.037
cg03767531,0.084
cg03771840,0.359
cg03773862,0.901
cg03777083,0.6
cg03778594,0.97
cg03780701,0.556
cg03783925,0.774
cg03787711,0.855
cg03788004,0.125
cg03788610,0.844
cg03790908,0.02
cg03805684,0.68
cg03807873,0.899
cg03810608,0.851
cg03817794,0.441
cg03819692,0.868
cg03823084,0.869
cg03827386,0.944
cg03834467,0.918
cg03839074,0.351
cg03839949,0.153
cg03840504,0.056
cg03843656,0.935
cg03844971,0.08
cg03845289,0.098
cg03847705,0.109
cg03848483,0.164
cg03848890,0.855
cg03854598,0.986
cg03857047,0.105
cg03858663,0.895
cg03860256,0.323
cg03864121,0.938
cg03864215,0.463
cg03869874,0.075
cg03871460,0.239
cg03874199,0.127
cg03882270,0.933
cg03883502,0.171
cg03885664,0.342
cg03887528,0.402
cg03891319,0.097
cg03894990,0.537
cg03895593,0.87
cg03900798,0.961
cg03900851,0.036
cg03913456,0.28
cg03915012,0.945
cg03922834,0.837
cg03923640,0.829
cg03926598,0.867
cg03929796,0.243
cg03946923,0.057
cg03947362,0.047
cg03948781,0.341
cg03950121,0.847
cg03950166,0.077
cg03950599,0.877
cg03955530,0.861
cg03957108,0.122
cg03958979,0.382
cg03960747,0.839
cg03970588,0.017
cg03974717,0.042
cg03977782,0.05
cg03980370,0.833
cg03982897,0.53
cg03984502,0.898
cg03986400,0.762
cg03987653,0.922
cg03990139,0.886
cg03990195,0.861
cg03991512,0.544
cg03995615,0.774
cg03997502,0.89
cg03998338,0.808
cg03999130,0.15
cg04000281,0.265
cg04005032,0.069
cg04007936,0.954
cg04012082,0.42
cg04013159,0.873
cg04014889,0.935
cg04018738,0.881
cg04027548,0.45
cg04030848,0.803
cg04031134,0.949
cg04031656,0.838
cg04035728,0.179
cg04036898,0.649
cg04038163,0.841
cg04042468,0.328
cg04053045,0.052
cg04055490,0.473
cg04055913,0.771
cg04060163,0.071
cg04068844,0.472
cg04078896,0.073
cg04081402,0.923
cg04084157,0.157
cg04084236,0.254
cg04087608,0.909
cg04087740,0.326
cg04088674,0.893
cg04091063,0.102
cg04092800,0.221
cg04094160,0.045
cg04105923,0.355
cg04111992,0.582
cg04115680,0.08
cg04120413,0.908
cg04120520,0.919
cg04121983,0.109
cg04123409,0.355
cg04126866,0.849
cg04129308,0.319
cg04131969,0.506
cg04135242,0.964
cg04144218,0.901
cg04149978,0.813
cg04152629,0.031
cg04154465,0.267
cg04157658,0.72
cg04169469,0.114
cg04170623,0.891
cg04175739,0.068
cg04188273,0.023
cg04188937,0.707
cg04194821,0.71
cg04196119,0.449
cg04200607,0.275
cg04202892,0.099
cg04208403,0.635
cg04210284,0.021
cg04212239,0.134
cg04214075,0.084
cg04218760,0.587
cg04218812,0.035
cg04218880,0.873
cg04221461,0.638
cg04229059,0.461
cg04231636,0.446
cg04232128,0.279
cg04234680,0.057
cg04235075,0.111
cg04236639,0.898
cg04237663,0.063
cg04243822,0.958
cg04248271,0.289
cg04254609,0.033
cg04254769,0.937
cg04259907,0.498
cg04265051,0.507
cg04267101,0.342
cg04267526,0.297
cg04268405,0.964
cg04270358,0.288
cg04275806,0.084
cg04291079,0.918
cg04292941,0.868
cg04295372,0.453
cg04297819,0.548
cg04307987,0.063
cg04315771,0.869
cg04322572,0.91
cg04323814,0.477
cg04332818,0.182
cg04333463,0.041
cg04336659,0.066
cg04338863,0.868
cg04344923,0.916
cg04348250,0.84
cg04349985,0.24
cg04358463,0.589
cg04359302,0.861
cg04359828,0.894
cg04361926,0.301
cg04362886,0.519
cg04365102,0.673
cg04367197,0.074
cg04367427,0.828
cg04370442,0.958
cg04374006,0.551
cg04378886,0.305
cg04379563,0.959
cg04399631,0.802
cg04400972,0.084
cg04401067,0.857
cg04407388,0.891
cg04408488,0.123
cg04416734,0.18
cg04416752,0.064
cg04418999,0.941
cg04424621,0.17
cg04425701,0.559
cg04431054,0.285
cg04431596,0.963
cg04431946,0.113
cg04432319,0.035
cg04436528,0.645
cg04445851,0.854
cg04451175,0.549
cg04452203,0.483
cg04452713,0.121
cg04452896,0.957
cg04460609,0.498
cg04474049,0.32
cg04474832,0.312
cg04480708,0.978
cg04480914,0.061
cg04505252,0.491
cg04508114,0.725
cg04508804,0.202
cg04512892,0.422
cg04521765,0.765
cg04528771,0.096
cg04528819,0.152
cg04531704,0.106
cg04543008,0.021
cg04549460,0.085
cg04568819,0.787
cg04571584,0.689
cg04576021,0.888
cg04588969,0.981
cg04596060,0.09
cg04597433,0.105
cg04599158,0.874
cg04601137,0.376
cg04603184,0.051
cg04604946,0.394
cg04607246,0.953
cg04613313,0.198
cg04616566,0.947
cg04621728,0.314
cg04633225,0.04
cg04634427,0.71
cg04642300,0.256
cg04646282,0.248
cg04654363,0.331
cg04655136,0.967
cg04658021,0.398
cg04658841,0.843
cg04659537,0.706
cg04661709,0.705
cg04662594,0.469
cg04666465,0.472
cg04672706,0.026
cg04673465,0.569
cg04677158,0.289
cg04682845,0.168
cg04684267,0.152
cg04686264,0.957
cg04690395,0.08
cg04691795,0.786
cg04694619,0.875
cg04704414,0.908
cg04709900,0.145
cg04717802,0.14
cg04718414,0.031
cg04721098,0.753
cg04723534,0.423
cg04736140,0.039
cg04739880,0.432
cg04742397,0.325
cg04745805,0.052
cg04748223,0.542
cg04749507,0.53
cg04751549,0.696
cg04753583,0.229
cg04755031,0.111
cg04756296,0.913
cg04757168,0.605
cg04760708,0.808
cg04764584,0.607
cg04764624,0.355
cg04774597,0.394
cg04781580,0.207
cg04784327,0.108
cg04785213,0.853
cg04785284,0.941
cg04785972,0.257
cg04786857,0.029
cg04788957,0.156
cg04794120,0.016
cg04796189,0.067
cg04808029,0.019
cg04818845,0.639
cg04820362,0.839
cg04832325,0.812
cg04834770,0.906
cg04834794,0.041
cg04836038,0.106
cg04836987,0.949
cg04838627,0.982
cg04845144,0.018
cg04845466,0.659
cg04851639,0.924
cg04858164,0.713
cg04858616,0.019
cg04861640,0.159
cg04864538,0.665
cg04872610,0.305
cg04872689,0.157
cg04875128,0.122
cg04880063,0.081
cg04880546,0.119
cg04889790,0.689
cg04889800,0.197
cg04897713,0.542
cg04902729,0.115
cg04904276,0.766
cg04911050,0.952
cg04913265,0.609
cg04920452,0.495
cg04928670,0.776
cg04937184,0.312
cg04940570,0.061
cg04946715,0.062
cg04948475,0.785
cg04955333,0.785
cg04956585,0.84
cg04967775,0.047
cg04974804,0.895
cg04975505,0.067
cg04976151,0.37
cg04987004,0.953
cg04995300,0.202
cg04996219,0.02
cg04998671,0.989
cg04999352,0.218
cg04999691,0.771
cg05001334,0.807
cg05003422,0.022
cg05006304,0.848
cg05019423,0.351
cg05021075,0.517
cg05023043,0.403
cg05024939,0.223
cg05030481,0.079
cg05030953,0.551
cg05034363,0.141
cg05043910,0.787
cg05045517,0.054
cg05048976,0.076
cg05049335,0.197
cg05055782,0.167
